0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,label
-58.182537,-5.71331,-7.232812,21.347555,-28.649984,13.950111,12.547625,-16.952435,-29.217665,102.57802,1.8373569,-10.880736,17.440819,-34.830757,-14.420054,-42.46663,-11.840379,43.141735,-11.602025,-20.697977,25.934586,-25.488222,-75.40197,-11.588621,15.571086,-14.387772,-43.49168,38.229713,-4.341494,-32.65333,-46.863182,-13.251649,-27.940742,22.78462,-6.245102,-8.236345,-12.855227,-10.887438,15.450563,-1.4860972,0.97931886,-17.162743,-28.165865,14.644779,33.187866,-10.520575,12.202993,39.364693,10.456199,36.67939,-29.177307,15.44138,13.539015,-27.061102,20.582468,-15.78602,3.5372162,-2.6075788,-25.449532,-42.865334,-53.961464,23.683353,-29.347996,-13.770669,14.072392,7.257008,-9.540497,16.404593,14.871888,9.325959,3.7507627,31.758188,-18.37994,17.758171,-34.760242,-2.722051,-9.759772,-44.169533,64.75681,2.536845,-2.6061752,76.17908,-25.24878,-5.0538282,65.30733,24.059137,24.835005,-1.0229402,-13.289228,61.770008,2.06954,13.82101,-51.28648,33.968334,-16.041496,39.723244,20.660345,-43.464226,14.639753,1.2459424,-5.538567,10.404011,64.2834,62.782562,50.035046,17.791233,-26.459743,-37.565975,-23.926626,24.65965,32.91947,28.192963,-8.539904,-40.789433,17.218904,-14.9334135,5.8784475,14.30525,8.272183,73.08791,-4.707909,-76.40499,-66.23291,24.327215,37.905487,22.423512,-36.647854,-36.94458,-8.145835,-21.847849,-21.308834,40.498383,-5.727356,13.302169,29.88528,-18.269693,7.4492774,-37.99572,-4.559022,11.723603,44.43116,-2.8842325,14.105708,-14.338966,20.949833,17.15685,63.52706,15.680186,51.84491,65.50754,-27.53019,57.070404,68.82095,-26.472815,23.620504,-32.40591,8.471577,32.554325,10.800401,-19.655827,-38.780453,-40.442703,21.222048,-3.8998618,8.165999,-55.863876,-6.252656,-17.17331,-34.126263,-38.031063,65.232574,-4.9615293,10.281452,4.0251956,23.57568,-30.420752,7.6280847,-36.401917,27.350723,36.161854,-2.0242476,-92.5678,35.00671,17.025738,4.0518403,40.891464,15.09944,24.979954,68.866714,-17.069168,33.496952,5.232035,Others
-0.32786006,1.4246386,60.359272,-57.934628,15.550599,-10.668055,29.568495,-60.117455,-20.004698,8.274718,-8.850378,-18.750168,-11.037176,-14.539479,-41.79054,10.56652,10.873527,-3.4097984,20.68388,-7.5734386,-17.507011,1.6707326,-23.289028,21.34817,-33.31459,27.281948,3.770393,41.36031,30.85817,3.6160827,-2.5509303,-5.147983,-20.814949,25.58479,0.09561301,-18.163109,55.283173,33.38858,-0.010639483,-24.516039,-8.95864,-8.473327,21.422228,6.6318965,-10.513784,-1.6927412,26.79031,-35.877193,1.5004116,13.057692,8.750527,15.094555,30.148188,22.720625,-33.761112,-21.598091,-2.0970616,7.506515,13.90922,-44.377033,-3.2046998,34.211063,19.734076,39.23114,4.3083377,1.2660925,13.338839,-20.05229,-27.206411,-24.104517,8.417426,33.817787,26.724766,16.97,-20.078896,-6.935385,0.42006296,-30.740309,-8.71426,-11.333451,23.95463,28.53488,37.69911,-15.596792,14.428862,7.2492,-34.9722,16.44854,-33.25307,-46.859673,11.642755,-18.35626,1.6205066,-27.933477,7.605641,14.048804,3.8770258,-35.6222,-40.884045,24.04114,6.4074526,-14.904899,-14.571356,-8.270471,25.397045,17.406363,28.841656,41.71281,-15.904072,12.388584,25.074724,-28.821642,-20.025394,-9.850624,-8.079355,-7.174048,0.92581934,-21.622551,33.10985,-3.648507,26.424147,-60.23086,-8.242152,-64.43976,27.6079,-14.532633,-41.496143,-3.1859426,-19.438948,-74.02773,-45.679718,-32.263683,18.130836,4.9931684,-35.18222,7.62051,-1.2234834,2.8616586,28.156654,-10.498214,-14.793303,-20.660704,14.384058,16.12844,-2.3441768,4.46849,-6.76688,48.821434,-16.3385,21.527742,-6.634454,54.996193,30.879604,-10.067845,8.133865,-58.046173,-44.474064,68.342766,-32.144997,-4.3311753,-4.281621,-36.677155,-14.562022,-1.4278607,10.811903,-74.18617,26.109919,-57.585243,10.994128,12.125651,-16.443516,-19.630228,-18.357704,-3.48622,10.718464,14.287385,21.329123,-6.420291,-13.684522,16.36386,54.892788,-6.95432,-46.81714,2.725958,-28.239254,-4.8229833,17.356436,3.301415,-39.995052,16.770628,-21.884104,-9.328122,Others
-11.3484745,-19.290697,12.286017,20.833817,-8.373647,7.171829,20.061893,21.913654,-8.846725,38.50895,33.690495,13.422233,-13.474021,-11.440499,40.133083,37.793194,23.09344,-29.294825,-45.08146,-20.601822,-32.861782,6.313956,8.328001,8.40205,-19.714317,-0.7579436,-0.25560457,27.690155,32.139103,-34.177704,19.310738,24.22713,11.754463,-44.539394,-6.857616,0.1620434,21.087797,-37.114986,-39.92627,28.206516,18.400806,-16.107513,31.831762,36.3865,-7.547177,-42.907696,-51.37216,-6.1430697,30.249561,24.276514,-6.7742467,32.583897,-45.048546,7.3775997,-48.40677,30.178396,-1.1269493,-19.094023,28.685577,13.143725,-20.648739,-17.919903,2.2488608,7.5336523,-53.328472,-11.777842,13.773628,32.31959,27.816404,0.6148044,-9.40968,34.227295,39.53893,-0.58758825,36.4429,0.6718313,45.95969,-77.72341,37.53,46.261948,28.224146,43.79704,-1.9095334,30.063143,12.009867,-13.311511,0.8560352,-34.626453,-2.2612123,6.3310814,-20.238697,-2.5520725,22.246819,16.699408,1.997476,70.64768,47.72623,42.42862,-1.7296197,39.567863,30.66335,12.853995,23.32637,-67.23479,20.204735,6.721171,35.649117,3.5655868,-7.3962827,1.4670982,27.037514,6.644791,-17.409042,-13.077454,21.774742,-41.69706,52.051212,-54.0998,26.935837,17.818066,10.778408,26.33254,3.617094,-37.133987,21.272137,-32.13461,31.390825,29.623947,-23.972254,-50.26501,-7.684402,-45.860554,32.598927,-0.6965147,4.047263,-19.920446,17.986347,-11.927012,-32.2782,-46.192684,-52.568848,46.5757,-15.840689,-26.148922,8.7690525,16.911688,-19.147696,17.500757,16.979692,20.15342,36.77325,5.575839,0.77778417,-19.443811,31.756586,22.215162,-5.3726974,-25.317034,-27.649551,-49.59838,-4.997169,14.962317,54.45442,10.195521,22.13517,-30.737633,19.585136,-32.68175,-44.731968,9.220237,-3.966913,-96.954056,-27.371342,4.6192327,40.927086,-21.201124,0.114217445,-10.27027,8.858432,-36.339687,70.2093,11.63937,-68.686005,12.124679,45.22923,44.97666,-21.0632,-42.297794,-13.859022,-13.0178795,1.035879,54.701252,Others
6.1999187,3.3013742,51.043285,3.8462024,8.24316,2.0400543,-8.597266,20.114828,5.591275,-1.1201214,-57.499283,-9.505795,41.417793,-17.44064,-33.529366,28.588924,27.295855,-21.124664,10.685126,-27.31329,21.242266,-14.975804,13.774512,-2.8307955,9.851426,-16.477617,12.349754,-16.105888,-26.511316,-44.543213,-9.426846,-4.4355927,-13.01037,-1.1847208,55.103283,-10.734132,-10.901941,27.063828,8.627656,-14.32316,-4.7073774,-0.5551065,-0.025082748,-27.575409,3.2815018,0.6649769,-6.7729225,14.984928,20.225527,-24.205305,17.252832,37.53862,27.68378,13.184421,-0.7156351,-7.394151,-10.514277,-5.5575204,22.452461,2.5916195,-9.793007,-12.811938,-50.962975,3.8099566,37.61723,2.762943,17.718233,-44.339134,-24.486141,-53.86288,7.1580086,8.16195,48.99554,-28.897987,4.495398,-39.824944,28.06562,-37.919617,-8.737436,48.5901,19.554384,8.609351,39.24636,-51.137226,11.130122,5.985469,26.876442,-1.5761671,30.287209,66.77858,-13.443851,-64.88801,41.820274,1.7999326,-1.3868586,-26.871456,-9.974176,-6.943056,8.726355,-0.7222936,13.998155,3.7545867,32.350914,-16.512152,4.455817,-0.50838417,-3.5727088,-28.769638,-21.444208,-34.496273,12.728692,-2.7923927,-13.896013,-7.6954865,-13.33164,22.295214,29.750673,-32.313293,-7.260057,-5.092102,5.720534,-70.614555,2.8697672,10.655621,-7.2933345,-23.716852,31.12251,3.0528667,3.0427938,-30.117714,-16.4057,-33.31509,-0.26872262,-18.524567,36.927464,-9.705573,-6.688523,-10.964524,-38.1914,16.681164,-14.542324,-21.272123,-3.0056915,3.30964,62.639114,48.765636,7.4856496,0.6051897,-21.538837,31.830803,-13.380746,10.126288,30.567406,-16.222654,-2.9933953,13.014614,23.422457,12.806049,-15.779262,-43.068638,-11.072271,-12.422033,18.741442,7.63382,-2.7201827,-19.674335,-22.19669,-1.0073934,-31.739487,42.031067,12.455747,24.392527,-21.000359,-23.929653,-32.675148,-4.369005,-9.208304,37.743732,-2.0887604,-32.50629,27.954912,13.225245,-25.584116,26.231615,-35.848255,-24.692446,-1.8937228,-0.71119887,-27.01497,-41.968346,-9.406662,21.447939,Others
-20.0458,-35.6204,46.03777,42.07423,46.83469,-38.869766,3.2732196,27.58289,28.93598,1.7188984,46.80703,-35.74195,-21.207829,-13.128394,62.04349,8.920932,-63.263676,-2.957685,22.823225,-32.94191,-15.024602,57.45314,10.29114,-4.70997,26.047363,-25.062967,-26.971037,54.356087,-4.819899,-10.018604,-45.262745,-9.022718,-3.223036,-58.2844,58.991673,8.03859,38.614246,-5.042134,-34.980278,23.244204,46.627094,1.4613057,4.5909033,29.028496,14.40422,-5.2643065,26.304014,-12.515568,-97.314705,-27.148378,19.767233,4.12439,50.931404,-6.721613,-38.33843,-34.25012,-67.38251,-12.644928,-3.3112857,36.992115,2.7492564,-1.8262327,13.43333,-24.877636,9.412575,19.014843,-48.53436,35.08639,-16.045849,-45.36344,-50.567577,0.88352615,73.33517,37.084892,22.350088,-54.336494,33.16441,17.83244,5.152004,18.482132,-37.390293,-18.386967,26.503914,29.248928,-17.15439,-74.66199,-42.048306,7.2006006,20.248878,-31.96374,-35.403854,-22.10155,32.09431,0.68756396,-82.21366,-51.132957,-8.018604,36.825058,-5.36608,-67.57941,-31.137924,-5.0247817,-13.170673,8.530729,27.983976,4.932257,10.049619,29.143784,-2.9486248,30.643873,18.562906,50.675156,-44.99959,12.325905,-6.9422526,12.494119,-2.270236,-24.617554,-11.606313,-6.9611983,-29.537151,6.357347,-39.290947,-7.1051044,-4.4354315,-44.533283,-22.368078,-9.377357,10.009773,-25.813414,-39.110672,-47.962967,58.216705,19.34797,11.321535,-40.902763,-2.4437392,13.744897,28.565626,16.114145,-0.39423272,-76.999084,-10.691044,-31.999508,-0.1858048,-13.346414,-21.76965,8.692806,27.809246,28.237541,6.471919,-38.036415,-34.015133,-3.1648545,39.001564,23.370584,-63.52705,12.5699835,-50.119892,-22.99193,-0.34085622,22.672827,-13.615605,-39.841866,-29.12804,-18.160881,-47.219013,-8.087597,-23.120829,-42.734413,-4.1194363,0.9174096,18.143867,-3.4780488,-57.460365,-3.724983,-26.331236,6.0223813,14.787875,-49.44015,-20.511211,23.015985,-24.277506,-21.974058,-12.283977,-37.791153,-64.57227,-23.291899,-45.652374,-0.8221966,-3.9788647,8.12835,Others
13.639304,17.725338,3.8056688,-21.952341,27.787432,-38.327003,-8.605311,1.3423474,-38.340374,109.422455,44.475216,-0.42305332,-12.245482,-26.518276,22.049988,-0.8686634,43.031322,-7.775123,25.806395,37.029564,-10.4588,-38.9516,2.3815396,-41.150467,-19.326077,28.363316,-38.44591,-5.47624,3.5785584,-26.358707,-0.11276463,17.272177,-28.40946,10.429604,-9.505455,49.12386,-27.93535,46.54876,15.815356,-29.458279,-23.37625,-7.895779,-11.343844,-10.372076,51.30381,15.414194,18.9088,-15.69078,52.776665,5.439827,-38.282307,38.633953,19.072311,-23.333704,-27.25345,18.49325,61.385395,18.746025,7.060683,1.4409083,-27.420635,5.8948746,-10.961817,10.265467,8.615574,-36.126526,1.8073047,-4.504442,3.131968,-7.496505,-7.754756,-27.606894,47.842293,34.00532,20.854876,9.177211,11.877131,-3.7378168,53.550728,14.441402,-2.3889892,19.734879,-4.8614206,13.676036,40.598248,37.371773,25.250122,-18.933624,29.873278,18.930275,-21.98372,-71.291794,-51.370277,-33.163494,33.98691,67.78609,-34.872955,-36.588085,-76.21982,19.181877,-5.0764647,31.508432,17.543167,11.510844,-0.9249379,48.362392,-3.5782917,-18.945154,-64.22895,1.5503664,3.7368984,49.01303,14.601038,-24.10601,-33.14197,13.64511,3.4487677,-43.247692,24.032553,48.04663,-16.407885,-40.959545,14.035802,13.840258,1.6052351,-9.191473,27.623293,29.473446,22.925562,-28.67867,-29.508652,12.05448,-22.424244,37.165905,41.361546,-1.3086168,-2.8409731,-4.7608447,20.517279,13.832778,5.582403,-44.77715,18.585676,-74.23933,-36.816658,48.676456,72.722374,-21.814451,44.955246,39.054874,-0.5058671,33.82412,67.63698,-15.793208,-0.090616636,-13.611912,-6.458428,30.113756,-21.946281,-11.795262,-57.60933,1.4326922,34.434704,-3.4106174,10.336606,-6.484666,-11.933477,-16.312216,1.6812632,45.76483,-14.000481,-47.744076,-44.47626,9.365681,24.839127,-10.994245,16.207655,22.46771,13.588486,-15.01773,-40.716606,-14.545873,-22.220522,70.853714,35.62698,2.17369,-11.079237,-37.621307,8.062374,33.74409,-58.505924,16.766243,Others
12.308557,-7.187868,-8.423331,-16.604923,10.531657,-11.820807,-20.761566,19.874773,-10.755129,24.723269,-21.272308,32.63444,-34.84539,-22.974735,-12.533943,25.487597,-49.00262,37.726933,39.685513,-50.725758,11.846948,-21.359753,-32.726307,8.904959,13.425303,5.2445483,-17.797846,51.812866,35.45462,50.004974,-28.923973,-10.217013,-14.741543,26.683422,31.303865,-30.214308,26.124702,-15.690351,-9.021621,44.168922,24.843466,7.8553615,-19.278812,-13.247609,-14.919839,17.594303,16.903059,35.650352,27.536228,52.82293,11.708425,20.164618,-26.509108,5.2478733,44.636673,54.63404,2.6927023,-3.0865178,-29.415539,-12.310556,-21.16085,-8.91929,-5.176386,-41.189907,-22.332993,27.511293,1.0245837,-62.591755,-6.9115996,-44.019073,4.7857656,-11.93978,22.031324,0.23665528,-19.930067,-36.814003,3.6105223,28.807383,24.52717,-6.085961,-2.9445164,20.821278,14.180246,-24.214432,3.4597628,35.73524,19.617132,35.57549,-13.499512,10.561703,19.627884,-72.814285,-59.689243,0.38265997,-8.665624,1.6022444,8.02393,19.75055,-16.180103,-5.429844,8.231798,-23.743397,27.262394,15.341016,-13.9100485,20.185589,40.359367,-22.890339,-2.7662408,-9.591016,-1.4065537,-25.166971,61.695744,-24.800867,-17.098213,-16.90058,20.079819,18.259083,2.6599555,22.5,-40.853592,8.387545,0.9168383,3.2932017,20.629208,-18.015821,16.053888,-32.36442,29.241823,-1.5088496,32.72818,-39.89854,17.258295,-27.998943,12.82721,28.137573,57.17036,-65.711044,61.709595,-47.470226,37.55519,-36.16572,-37.67763,9.297083,24.726204,18.841877,-74.04229,17.54112,-1.3799134,27.055155,4.770518,-0.8787134,-14.475113,4.9673624,-1.2749246,6.5333033,-24.350857,-23.772202,19.608515,-25.097628,-20.585388,0.5130192,-21.535381,37.82128,40.66756,5.0247793,-7.87961,-24.277431,29.773344,-0.7827939,-13.571842,11.06551,-3.3963144,-17.675983,26.56345,13.741203,-13.178521,-65.09223,-35.63049,-19.562302,21.501749,-10.53959,-36.646873,49.73403,-24.895693,-14.406121,37.62723,17.267277,-36.63756,-13.371156,46.046375,57.256298,Others
-34.64076,37.59808,-31.496431,63.555428,47.468662,-1.5779458,-71.908035,42.717274,-8.893404,17.203142,-1.5468663,42.235188,-52.515446,-32.975937,-38.910965,-2.5671802,-16.54703,-68.351204,22.70336,21.410307,-19.56073,3.4604673,-20.175877,11.837464,46.280052,57.663578,4.882393,90.603485,-31.42611,-53.702106,-0.0809975,-18.957846,-14.862854,2.600519,-0.8632376,9.251344,3.6115112,-27.606655,7.153868,-62.69324,10.575869,22.124264,-12.835194,22.34733,45.613667,-32.754063,-16.48173,-10.351451,6.1127,-53.211185,44.402203,18.09752,3.7734008,-3.7092917,14.113119,-65.15889,-3.5752358,35.019436,-8.629575,-32.279003,27.59723,-20.515778,-95.22518,-25.792505,-28.036768,33.174786,56.973946,8.010769,32.763283,-18.115547,-7.414021,-47.41284,-16.192913,-30.164265,13.734946,7.233609,1.8674215,18.286936,17.832157,-36.999413,-71.151634,8.922536,-1.3642148,10.758534,71.37243,7.505697,28.882753,-0.13042216,55.036,50.119045,-30.741573,-28.076813,-26.264793,-18.732767,35.043972,-43.576675,8.119082,6.0795393,26.125675,-11.88572,10.911716,-13.432263,-13.898991,12.587767,-13.589334,7.8721843,15.970465,-24.223211,-8.604507,-10.7009,-6.2117305,0.4793001,23.141312,3.2223296,32.420353,6.5739098,2.8497772,-39.764736,35.168327,38.56149,32.262135,0.51238716,16.489573,78.8808,-15.465712,0.2716006,9.14955,-34.263763,59.357475,-23.714598,1.535839,-1.6879102,14.365807,14.0404415,38.010544,22.082224,39.37625,20.447811,27.449684,-64.689995,-10.4555855,2.9662147,-3.1511822,-55.701805,-36.93206,-4.644613,-4.223895,17.819601,-6.491599,35.880478,29.959646,36.56573,-37.113243,-6.161694,64.986855,-38.470066,-45.002193,2.9905534,-19.33696,-27.741602,16.914549,8.74951,21.882154,-4.06566,-24.389324,23.205294,20.790434,-37.35769,-7.29592,17.901697,58.99596,-26.791336,-4.2526064,-33.32104,-9.720209,-13.28226,-31.16281,-4.21284,-29.413824,7.043594,-12.991663,46.48379,-45.533356,-8.316533,-51.32238,-34.527798,4.0869145,12.144778,41.86134,30.49178,-73.692116,14.638303,Others
-33.662483,-18.315262,28.733183,13.731482,-7.680911,6.4495625,-38.17923,11.912802,32.772106,25.105345,-5.038374,-1.4566703,64.02549,35.987415,19.306547,-59.796776,-37.210354,21.355928,18.534391,-32.51043,0.7924423,-13.846522,-11.818558,-14.304382,9.813404,-37.485413,-24.335405,33.312412,-32.297985,-13.215963,3.8307855,31.43012,-32.896862,-6.014527,42.866146,2.1122415,41.77707,22.409458,13.526442,35.123505,15.692588,-13.81887,-27.203882,18.838808,11.702078,-15.049408,-27.810993,-4.422199,-16.83325,43.996326,18.698332,-21.533125,-31.86348,15.630349,3.2489665,-14.545621,-2.7862163,-22.045973,17.306164,-22.877651,-26.148245,8.939295,-53.98381,-39.91088,11.9272175,27.34485,0.32581463,17.462715,35.353928,-1.0113038,-5.970639,-27.822348,54.31953,-6.6560545,27.181421,-7.125498,22.00482,-16.241337,51.747604,-5.0174623,18.131733,16.660479,11.768165,-20.511587,-10.328714,-29.086542,-0.45018104,22.315939,48.658894,36.114,43.356373,-35.778328,-36.581467,26.549221,-30.642424,-28.177402,14.620313,-7.299979,35.218678,25.079762,-9.618503,36.81027,26.463184,-12.777969,-38.076035,-12.126251,50.27433,20.09632,-32.67817,38.39875,12.035518,-16.786594,4.069089,3.3047404,-7.031909,23.67114,9.067661,-30.492409,-5.7479033,37.825325,-5.9708095,-0.05849013,-31.231403,-30.408155,-12.332026,-22.926973,-11.031528,-22.284122,4.958798,-11.530895,-32.346912,-40.73181,-4.919387,-13.05879,29.300825,-31.593214,55.32744,0.49951366,29.744955,-38.827206,-31.768972,-18.974026,-9.129763,17.77267,-15.897424,-10.034678,25.281668,21.868675,-25.798174,-10.950347,-0.34743944,24.280119,-44.75457,-35.536255,42.12241,-48.753735,-12.769916,27.81175,-40.37407,-1.6847394,-32.74617,-22.54582,28.634962,17.577696,20.381035,-13.312923,-30.169905,-11.133134,-43.034657,-10.49924,27.805208,3.2762392,-7.9258957,50.8426,-17.628246,-27.982296,-27.133575,-4.8092213,27.204641,-14.370109,3.435781,21.082994,24.950258,-30.529057,39.122433,1.3626959,12.745621,3.8382192,-20.774822,13.735883,-62.93512,14.6076565,Others
-2.0163362,34.233406,26.93407,-22.568623,-29.230597,9.550474,-9.981612,4.2485466,-41.97991,56.196384,-27.057936,-8.8045845,10.1022625,23.354645,-16.830553,44.673416,33.39907,-23.0213,-18.359148,-8.693534,-49.817776,44.8093,3.8691924,-29.046951,29.67884,50.155067,8.326368,24.800375,-6.075637,-59.259697,-9.602534,5.3409867,-27.364126,-25.653452,31.691057,16.197897,33.15746,-3.478688,23.122879,21.322691,4.2411704,-15.400372,-12.301684,-33.08389,-24.563923,-14.837725,-1.8849537,-25.213463,22.833414,-17.512836,71.24626,64.92951,2.6827161,33.7191,-28.28236,-12.6740675,40.98417,-11.607691,-26.892601,25.19126,5.451512,-34.403652,-48.5657,-48.13247,14.305456,-0.16601346,-18.906317,14.197577,22.022327,-11.5479,1.3015393,16.338972,21.423,-27.735023,-5.724274,13.203283,15.716677,-25.222158,-35.515648,6.548365,-21.005188,28.269323,-5.9642277,-13.366299,4.534236,-47.958385,-47.29721,-18.390825,8.18998,-3.3521047,7.4861145,37.405598,1.5385414,9.302444,-47.672066,12.3523035,-2.159479,35.940304,-16.3539,-45.804276,-7.040627,-18.552458,4.4560175,-40.644444,-58.83424,-9.235486,22.543337,18.55801,-70.33017,23.426893,-28.69708,-4.488182,-8.187892,-1.2619772,24.933788,11.760473,-45.19591,45.268543,27.461176,19.853199,-1.3346477,-10.01488,-20.652367,13.975242,41.67732,-44.354187,-12.927839,-0.685281,9.422303,-66.436134,-58.003292,-66.05904,-6.9336977,26.44948,29.629412,-23.402374,26.135496,7.562673,4.1189713,-14.878757,-61.458385,-11.106679,12.22397,27.571527,37.402573,-1.0802237,23.349651,-8.303665,-19.3687,-11.824612,39.2443,44.094166,-14.923246,19.400587,10.158531,-21.471466,-5.389751,0.20699462,-53.073807,-15.54071,22.916622,-16.041153,-18.818964,-37.621605,4.0604925,-37.312756,19.917627,-14.980697,-42.843662,-9.619336,-21.705399,-25.533718,5.6038795,-37.00599,-29.69547,-3.5956485,14.151859,1.4658706,-0.78832114,-3.5978932,32.9188,2.8747082,-71.71641,52.393936,-22.437544,13.362377,3.4826438,3.512247,-22.135302,26.126604,-20.942533,14.814797,Others
